Potential_Score_0_100,hcp_id,specialty,Potential_Category
0.0,NPIIN0000000069,Cardiology,Low
0.0,NPIIN0000000070,Neurology,Low
0.0,NPIIN0000000071,Neurology,Low
0.0,NPIIN0000000072,Endocrinology,Low
82.8,NPIIN0000000073,General Medicine,Low
0.0,NPIIN0000000074,Cardiology,Low
55.7,NPIIN0000000075,Pulmonology,Low
0.0,NPIIN0000000076,Orthopedics,Low
13.7,NPIIN0000000077,General Medicine,Low
0.0,NPIIN0000000078,Orthopedics,Low
0.0,NPIIN0000000079,Cardiology,Low
0.0,NPIIN0000000080,General Medicine,Low
0.8,NPIIN0000000081,Urology,Low
0.0,NPIIN0000000082,Urology,Low
48.9,NPIIN0000000083,Diabetology,Low
0.0,NPIIN0000000084,Neurology,Low
0.0,NPIIN0000000085,Urology,Low
0.0,NPIIN0000000086,Gastroenterology,Low
6.8,NPIIN0000000087,Pulmonology,Low
0.0,NPIIN0000000088,Endocrinology,Low
0.0,NPIIN0000000089,Cardiology,Low
0.0,NPIIN0000000090,Pulmonology,Low
82.4,NPIIN0000000091,General Medicine,Low
85.6,NPIIN0000000092,Endocrinology,Low
82.2,NPIIN0000000093,Diabetology,Low
71.9,NPIIN0000000094,General Medicine,Low
0.0,NPIIN0000000095,General Medicine,Low
0.0,NPIIN0000000096,General Medicine,Low
0.0,NPIIN0000000097,General Medicine,Low
0.0,NPIIN0000000098,Cardiology,Low
0.0,NPIIN0000000099,Urology,Low
0.0,NPIIN0000000100,Pulmonology,Low
0.2,NPIIN0000000101,Endocrinology,Low
0.0,NPIIN0000000102,General Medicine,Low
0.0,NPIIN0000000103,General Medicine,Low
35.3,NPIIN0000000104,Pulmonology,Low
0.0,NPIIN0000000105,Pulmonology,Low
0.0,NPIIN0000000106,Neurology,Low
0.0,NPIIN0000000107,Neurology,Low
0.5,NPIIN0000000108,Cardiology,Low
49.8,NPIIN0000000109,Diabetology,Low
1.0,NPIIN0000000110,Cardiology,Low
0.0,NPIIN0000000111,General Medicine,Low
47.9,NPIIN0000000112,General Medicine,Low
0.0,NPIIN0000000113,Gastroenterology,Low
52.0,NPIIN0000000114,Endocrinology,Low
0.0,NPIIN0000000115,Neurology,Low
64.4,NPIIN0000000116,Diabetology,Low
0.0,NPIIN0000000117,General Medicine,Low
0.0,NPIIN0000000118,Gastroenterology,Low
1.4,NPIIN0000000119,Cardiology,Low
0.0,NPIIN0000000120,General Medicine,Low
49.3,NPIIN0000000121,General Medicine,Low
0.0,NPIIN0000000122,Gastroenterology,Low
73.0,NPIIN0000000123,Endocrinology,Low
0.0,NPIIN0000000124,Orthopedics,Low
0.0,NPIIN0000000125,Orthopedics,Low
0.0,NPIIN0000000126,Dermatology,Low
72.5,NPIIN0000000127,Diabetology,Low
68.8,NPIIN0000000128,Neurology,Low
0.0,NPIIN0000000129,Cardiology,Low
0.0,NPIIN0000000130,Urology,Low
0.0,NPIIN0000000131,General Medicine,Low
86.4,NPIIN0000000132,Endocrinology,Low
46.8,NPIIN0000000133,Diabetology,Low
0.0,NPIIN0000000134,Dermatology,Low
0.0,NPIIN0000000135,Urology,Low
5.8,NPIIN0000000136,General Medicine,Low
0.0,NPIIN0000000137,General Medicine,Low
0.0,NPIIN0000000138,Gastroenterology,Low
0.0,NPIIN0000000139,Dermatology,Low
0.0,NPIIN0000000140,Gastroenterology,Low
13.5,NPIIN0000000141,General Medicine,Low
0.0,NPIIN0000000142,Neurology,Low
0.0,NPIIN0000000143,Dermatology,Low
0.0,NPIIN0000000144,Endocrinology,Low
0.0,NPIIN0000000145,General Medicine,Low
0.0,NPIIN0000000146,Cardiology,Low
0.0,NPIIN0000000147,General Medicine,Low
0.0,NPIIN0000000148,Gastroenterology,Low
48.4,NPIIN0000000149,Endocrinology,Low
0.0,NPIIN0000000150,Pulmonology,Low
4.0,NPIIN0000000151,Cardiology,Low
0.0,NPIIN0000000152,Urology,Low
0.3,NPIIN0000000153,Dermatology,Low
0.3,NPIIN0000000154,General Medicine,Low
0.5,NPIIN0000000155,Neurology,Low
0.0,NPIIN0000000156,Cardiology,Low
0.0,NPIIN0000000157,Dermatology,Low
0.0,NPIIN0000000158,Gastroenterology,Low
0.0,NPIIN0000000159,Cardiology,Low
0.0,NPIIN0000000160,Orthopedics,Low
0.0,NPIIN0000000161,Cardiology,Low
0.4,NPIIN0000000162,Pulmonology,Low
0.0,NPIIN0000000163,Endocrinology,Low
0.0,NPIIN0000000164,Gastroenterology,Low
0.0,NPIIN0000000165,Cardiology,Low
0.0,NPIIN0000000166,Cardiology,Low
7.5,NPIIN0000000167,General Medicine,Low
0.0,NPIIN0000000168,Orthopedics,Low
0.3,NPIIN0000000169,Diabetology,Low
0.0,NPIIN0000000170,Pulmonology,Low
13.4,NPIIN0000000171,General Medicine,Low
0.0,NPIIN0000000172,Dermatology,Low
46.2,NPIIN0000000173,Diabetology,Low
0.0,NPIIN0000000174,Pulmonology,Low
0.0,NPIIN0000000175,Orthopedics,Low
88.0,NPIIN0000000176,General Medicine,Low
4.6,NPIIN0000000177,General Medicine,Low
0.0,NPIIN0000000178,Urology,Low
27.5,NPIIN0000000179,General Medicine,Low
0.0,NPIIN0000000180,General Medicine,Low
69.3,NPIIN0000000181,Diabetology,Low
0.0,NPIIN0000000182,Dermatology,Low
0.0,NPIIN0000000183,Orthopedics,Low
0.0,NPIIN0000000184,Neurology,Low
0.0,NPIIN0000000185,Pulmonology,Low
49.5,NPIIN0000000186,General Medicine,Low
0.0,NPIIN0000000187,Cardiology,Low
62.1,NPIIN0000000188,Endocrinology,Low
62.5,NPIIN0000000189,Endocrinology,Medium
0.0,NPIIN0000000190,Cardiology,Low
0.0,NPIIN0000000191,Neurology,Low
0.0,NPIIN0000000192,Cardiology,Low
0.0,NPIIN0000000193,Cardiology,Low
55.4,NPIIN0000000194,General Medicine,Low
0.5,NPIIN0000000195,Diabetology,Low
85.2,NPIIN0000000196,Endocrinology,Medium
0.8,NPIIN0000000197,Endocrinology,Low
90.5,NPIIN0000000198,Diabetology,Low
0.0,NPIIN0000000199,Pulmonology,Low
0.0,NPIIN0000000200,Gastroenterology,Low
0.0,NPIIN0000000201,Dermatology,Low
0.0,NPIIN0000000202,Gastroenterology,Low
0.0,NPIIN0000000203,Pulmonology,Low
0.0,NPIIN0000000204,Urology,Low
0.0,NPIIN0000000205,General Medicine,Low
0.0,NPIIN0000000206,Neurology,Low
0.0,NPIIN0000000207,General Medicine,Low
46.4,NPIIN0000000208,Diabetology,Low
0.0,NPIIN0000000209,General Medicine,Low
60.6,NPIIN0000000210,Endocrinology,Low
0.0,NPIIN0000000211,Dermatology,Low
0.0,NPIIN0000000212,Cardiology,Low
0.0,NPIIN0000000213,Neurology,Low
0.0,NPIIN0000000214,Urology,Low
13.3,NPIIN0000000215,General Medicine,Low
0.0,NPIIN0000000216,Cardiology,Low
0.8,NPIIN0000000217,General Medicine,Low
0.0,NPIIN0000000218,General Medicine,Low
0.1,NPIIN0000000219,Orthopedics,Low
0.0,NPIIN0000000220,Neurology,Low
0.0,NPIIN0000000221,Gastroenterology,Low
13.5,NPIIN0000000222,General Medicine,Low
0.0,NPIIN0000000223,Neurology,Low
0.0,NPIIN0000000224,Gastroenterology,Low
0.0,NPIIN0000000225,Cardiology,Low
77.6,NPIIN0000000226,Endocrinology,Low
0.0,NPIIN0000000227,Cardiology,Low
81.8,NPIIN0000000228,General Medicine,Low
0.0,NPIIN0000000229,Urology,Low
0.0,NPIIN0000000230,Pulmonology,Low
0.3,NPIIN0000000231,General Medicine,Low
0.0,NPIIN0000000232,Urology,Low
48.2,NPIIN0000000233,Endocrinology,Low
0.0,NPIIN0000000234,Cardiology,Low
1.0,NPIIN0000000235,Urology,Low
0.0,NPIIN0000000236,Urology,Low
27.1,NPIIN0000000237,Neurology,Low
0.0,NPIIN0000000238,Diabetology,Low
0.0,NPIIN0000000239,Orthopedics,Low
0.0,NPIIN0000000240,Gastroenterology,Low
0.4,NPIIN0000000241,Neurology,Low
83.4,NPIIN0000000242,Endocrinology,Low
82.1,NPIIN0000000243,General Medicine,Low
87.5,NPIIN0000000244,Dermatology,Low
55.7,NPIIN0000000245,Urology,Low
0.0,NPIIN0000000246,Pulmonology,Low
0.0,NPIIN0000000247,General Medicine,Low
0.0,NPIIN0000000248,Neurology,Low
0.6,NPIIN0000000249,General Medicine,Low
0.3,NPIIN0000000250,General Medicine,Low
0.0,NPIIN0000000251,Cardiology,Low
0.0,NPIIN0000000252,Cardiology,Low
1.4,NPIIN0000000253,Gastroenterology,Low
0.0,NPIIN0000000254,Cardiology,Low
0.0,NPIIN0000000255,Cardiology,Low
0.4,NPIIN0000000256,Urology,Low
0.0,NPIIN0000000257,Neurology,Low
0.0,NPIIN0000000258,Cardiology,Low
0.0,NPIIN0000000259,Diabetology,Low
0.0,NPIIN0000000260,Gastroenterology,Low
26.9,NPIIN0000000261,General Medicine,Low
85.2,NPIIN0000000262,General Medicine,Low
0.0,NPIIN0000000263,General Medicine,Low
71.9,NPIIN0000000264,Endocrinology,Low
0.0,NPIIN0000000265,Gastroenterology,Low
0.0,NPIIN0000000266,Cardiology,Low
0.2,NPIIN0000000267,General Medicine,Low
82.5,NPIIN0000000268,Endocrinology,Low
0.0,NPIIN0000000269,Cardiology,Low
48.5,NPIIN0000000270,Endocrinology,Low
85.4,NPIIN0000000271,Urology,Low
81.8,NPIIN0000000272,Endocrinology,Low
63.2,NPIIN0000000273,Diabetology,Low
0.0,NPIIN0000000274,Cardiology,Low
0.0,NPIIN0000000275,Gastroenterology,Low
0.0,NPIIN0000000276,General Medicine,Low
0.0,NPIIN0000000277,Orthopedics,Low
34.2,NPIIN0000000278,Neurology,Low
0.0,NPIIN0000000279,Pulmonology,Low
0.0,NPIIN0000000280,Neurology,Low
0.0,NPIIN0000000281,Cardiology,Low
0.0,NPIIN0000000282,Orthopedics,Low
0.4,NPIIN0000000283,Orthopedics,Low
2.4,NPIIN0000000284,Diabetology,Low
0.0,NPIIN0000000285,Pulmonology,Low
0.3,NPIIN0000000286,Endocrinology,Low
0.0,NPIIN0000000287,Pulmonology,Low
0.0,NPIIN0000000288,Gastroenterology,Low
0.0,NPIIN0000000289,Orthopedics,Low
5.5,NPIIN0000000290,General Medicine,Low
0.0,NPIIN0000000291,Neurology,Low
0.0,NPIIN0000000292,Gastroenterology,Low
0.0,NPIIN0000000293,Endocrinology,Low
0.0,NPIIN0000000294,Pulmonology,Low
0.0,NPIIN0000000295,Neurology,Low
72.4,NPIIN0000000296,Gastroenterology,Low
0.3,NPIIN0000000297,Orthopedics,Low
0.0,NPIIN0000000298,Cardiology,Low
34.1,NPIIN0000000299,Endocrinology,Low
55.3,NPIIN0000000300,Endocrinology,Low
58.4,NPIIN0000000301,Endocrinology,Low
0.0,NPIIN0000000302,General Medicine,Low
5.4,NPIIN0000000303,Urology,Low
52.2,NPIIN0000000304,General Medicine,Low
0.1,NPIIN0000000305,Neurology,Low
85.8,NPIIN0000000306,General Medicine,Low
74.0,NPIIN0000000307,Diabetology,Low
13.1,NPIIN0000000308,Dermatology,Low
0.0,NPIIN0000000309,Neurology,Low
44.3,NPIIN0000000310,General Medicine,Low
0.0,NPIIN0000000311,Urology,Low
0.0,NPIIN0000000312,General Medicine,Low
2.5,NPIIN0000000313,Endocrinology,Low
47.5,NPIIN0000000314,General Medicine,Low
0.0,NPIIN0000000315,Neurology,Low
0.0,NPIIN0000000316,General Medicine,Low
0.0,NPIIN0000000317,Dermatology,Low
0.0,NPIIN0000000318,Pulmonology,Low
0.0,NPIIN0000000319,General Medicine,Low
80.2,NPIIN0000000320,Dermatology,Low
0.0,NPIIN0000000321,General Medicine,Low
7.8,NPIIN0000000322,General Medicine,Low
87.6,NPIIN0000000323,Cardiology,Low
55.1,NPIIN0000000324,General Medicine,Low
38.9,NPIIN0000000325,General Medicine,Low
49.7,NPIIN0000000326,Endocrinology,Low
0.0,NPIIN0000000327,Pulmonology,Low
49.4,NPIIN0000000328,Endocrinology,Low
26.7,NPIIN0000000329,Endocrinology,Low
0.0,NPIIN0000000330,Pulmonology,Low
0.0,NPIIN0000000331,Diabetology,Low
0.0,NPIIN0000000332,Neurology,Low
0.0,NPIIN0000000333,Neurology,Low
78.0,NPIIN0000000334,Diabetology,Low
0.0,NPIIN0000000335,Cardiology,Low
24.8,NPIIN0000000336,General Medicine,Low
5.8,NPIIN0000000337,Cardiology,Low
80.1,NPIIN0000000338,General Medicine,Low
24.8,NPIIN0000000339,Gastroenterology,Low
52.2,NPIIN0000000340,Pulmonology,Low
38.2,NPIIN0000000341,General Medicine,Low
0.0,NPIIN0000000342,Orthopedics,Low
0.0,NPIIN0000000343,Cardiology,Low
0.0,NPIIN0000000344,Urology,Low
0.0,NPIIN0000000345,Dermatology,Low
87.5,NPIIN0000000346,General Medicine,Low
75.4,NPIIN0000000347,Endocrinology,Low
0.0,NPIIN0000000348,Endocrinology,Low
0.1,NPIIN0000000349,Urology,Low
93.9,NPIIN0000000350,Endocrinology,Low
0.0,NPIIN0000000351,Urology,Low
0.0,NPIIN0000000352,General Medicine,Low
35.6,NPIIN0000000353,General Medicine,Low
0.3,NPIIN0000000354,Pulmonology,Low
0.0,NPIIN0000000355,Endocrinology,Low
86.7,NPIIN0000000356,General Medicine,Low
0.0,NPIIN0000000357,Orthopedics,Low
48.3,NPIIN0000000358,Endocrinology,Low
0.0,NPIIN0000000359,Urology,Low
0.0,NPIIN0000000360,Orthopedics,Low
0.0,NPIIN0000000361,Cardiology,Low
15.0,NPIIN0000000362,Pulmonology,Low
37.8,NPIIN0000000363,Endocrinology,Low
0.0,NPIIN0000000364,Pulmonology,Low
0.0,NPIIN0000000365,Orthopedics,Low
0.0,NPIIN0000000366,Urology,Low
0.0,NPIIN0000000367,Urology,Low
62.8,NPIIN0000000368,Endocrinology,Low
0.0,NPIIN0000000369,Pulmonology,Low
0.0,NPIIN0000000370,Endocrinology,Low
0.0,NPIIN0000000371,Urology,Low
0.4,NPIIN0000000372,Endocrinology,Low
0.0,NPIIN0000000373,Endocrinology,Low
0.0,NPIIN0000000374,Cardiology,Low
60.4,NPIIN0000000375,Endocrinology,Low
40.2,NPIIN0000000376,Endocrinology,Low
0.0,NPIIN0000000377,Cardiology,Low
0.0,NPIIN0000000378,Urology,Low
0.0,NPIIN0000000379,Gastroenterology,Low
0.0,NPIIN0000000380,Diabetology,Low
72.4,NPIIN0000000381,Gastroenterology,Low
0.7,NPIIN0000000382,General Medicine,Low
0.0,NPIIN0000000383,Gastroenterology,Low
1.5,NPIIN0000000384,Diabetology,Medium
0.0,NPIIN0000000385,Pulmonology,Low
0.0,NPIIN0000000386,General Medicine,Low
76.3,NPIIN0000000387,Endocrinology,Low
0.0,NPIIN0000000388,Pulmonology,Low
0.0,NPIIN0000000389,Gastroenterology,Low
0.1,NPIIN0000000390,Gastroenterology,Low
0.0,NPIIN0000000391,General Medicine,Low
0.0,NPIIN0000000392,General Medicine,Low
0.0,NPIIN0000000393,Gastroenterology,Low
0.0,NPIIN0000000394,Cardiology,Low
0.0,NPIIN0000000395,Cardiology,Low
0.3,NPIIN0000000396,General Medicine,Low
75.0,NPIIN0000000397,Endocrinology,Low
0.0,NPIIN0000000398,General Medicine,Low
0.0,NPIIN0000000399,Cardiology,Low
0.0,NPIIN0000000400,Pulmonology,Low
0.0,NPIIN0000000401,Neurology,Low
0.0,NPIIN0000000402,Dermatology,Low
0.0,NPIIN0000000403,Neurology,Low
0.0,NPIIN0000000404,General Medicine,Low
0.0,NPIIN0000000405,Orthopedics,Low
0.0,NPIIN0000000406,Gastroenterology,Low
0.3,NPIIN0000000407,General Medicine,Low
48.5,NPIIN0000000408,Endocrinology,Low
0.0,NPIIN0000000409,Neurology,Low
0.0,NPIIN0000000410,Pulmonology,Low
0.0,NPIIN0000000411,Neurology,Low
0.0,NPIIN0000000412,Gastroenterology,Low
0.0,NPIIN0000000413,Urology,Low
0.0,NPIIN0000000414,Orthopedics,Low
82.2,NPIIN0000000415,Neurology,Low
0.0,NPIIN0000000416,Orthopedics,Low
0.0,NPIIN0000000417,Urology,Low
0.0,NPIIN0000000418,Cardiology,Low
0.0,NPIIN0000000419,Neurology,Low
72.2,NPIIN0000000420,Endocrinology,Low
46.6,NPIIN0000000421,Diabetology,Low
0.4,NPIIN0000000422,Diabetology,Low
80.3,NPIIN0000000423,General Medicine,Low
0.0,NPIIN0000000424,Cardiology,Low
46.0,NPIIN0000000425,Endocrinology,Low
0.0,NPIIN0000000426,Cardiology,Low
0.1,NPIIN0000000427,Neurology,Low
0.0,NPIIN0000000428,Urology,Low
51.4,NPIIN0000000429,Orthopedics,Low
0.0,NPIIN0000000430,General Medicine,Low
8.1,NPIIN0000000431,Diabetology,Low
0.0,NPIIN0000000432,Dermatology,Low
0.0,NPIIN0000000433,Cardiology,Low
0.0,NPIIN0000000434,Orthopedics,Low
0.0,NPIIN0000000435,Gastroenterology,Low
0.0,NPIIN0000000436,General Medicine,Low
0.0,NPIIN0000000437,Cardiology,Low
0.0,NPIIN0000000438,Cardiology,Low
80.9,NPIIN0000000439,Pulmonology,Low
0.0,NPIIN0000000440,General Medicine,Low
24.9,NPIIN0000000441,Dermatology,Low
0.2,NPIIN0000000442,Neurology,Low
25.8,NPIIN0000000443,General Medicine,Low
0.2,NPIIN0000000444,Endocrinology,Low
0.0,NPIIN0000000445,General Medicine,Low
2.8,NPIIN0000000446,Endocrinology,Low
26.9,NPIIN0000000447,Neurology,Low
0.0,NPIIN0000000448,Pulmonology,Low
0.0,NPIIN0000000449,Dermatology,Low
84.8,NPIIN0000000450,General Medicine,Low
50.2,NPIIN0000000451,Diabetology,Low
0.0,NPIIN0000000452,Dermatology,Low
0.0,NPIIN0000000453,Neurology,Low
0.0,NPIIN0000000454,Neurology,Low
79.1,NPIIN0000000455,General Medicine,Low
87.3,NPIIN0000000456,Urology,Low
96.0,NPIIN0000000457,Endocrinology,Medium
55.0,NPIIN0000000458,General Medicine,Low
0.0,NPIIN0000000459,Dermatology,Low
0.0,NPIIN0000000460,Cardiology,Low
0.0,NPIIN0000000461,Dermatology,Low
25.8,NPIIN0000000462,General Medicine,Low
0.0,NPIIN0000000463,Cardiology,Low
0.0,NPIIN0000000464,Cardiology,Low
0.0,NPIIN0000000465,Dermatology,Low
0.2,NPIIN0000000466,Gastroenterology,Low
95.1,NPIIN0000000467,Diabetology,Low
0.0,NPIIN0000000468,Cardiology,Low
54.3,NPIIN0000000469,Diabetology,Low
72.7,NPIIN0000000470,Endocrinology,Low
0.5,NPIIN0000000471,Gastroenterology,Low
49.2,NPIIN0000000472,Endocrinology,Low
0.0,NPIIN0000000473,Endocrinology,Low
0.0,NPIIN0000000474,Cardiology,Low
0.0,NPIIN0000000475,Pulmonology,Low
0.0,NPIIN0000000476,Neurology,Low
0.0,NPIIN0000000477,Neurology,Low
0.0,NPIIN0000000478,Pulmonology,Low
0.0,NPIIN0000000479,Orthopedics,Low
0.0,NPIIN0000000480,General Medicine,Low
0.0,NPIIN0000000481,Urology,Low
0.0,NPIIN0000000482,Neurology,Low
0.0,NPIIN0000000483,Cardiology,Low
0.0,NPIIN0000000484,Dermatology,Low
0.0,NPIIN0000000485,Pulmonology,Low
0.0,NPIIN0000000486,Neurology,Low
47.4,NPIIN0000000487,Endocrinology,Low
7.0,NPIIN0000000488,General Medicine,Low
71.6,NPIIN0000000489,Urology,Low
53.3,NPIIN0000000490,Endocrinology,Low
0.0,NPIIN0000000491,Cardiology,Low
0.0,NPIIN0000000492,Diabetology,Low
0.0,NPIIN0000000493,General Medicine,Low
0.0,NPIIN0000000494,Dermatology,Low
0.0,NPIIN0000000495,Neurology,Low
0.0,NPIIN0000000496,Urology,Low
0.5,NPIIN0000000497,General Medicine,Low
46.4,NPIIN0000000498,General Medicine,Low
66.4,NPIIN0000000499,Endocrinology,Low
7.9,NPIIN0000000500,Endocrinology,Low
0.3,NPIIN0000000501,Gastroenterology,Low
0.0,NPIIN0000000502,Cardiology,Low
77.8,NPIIN0000000503,Diabetology,Low
0.0,NPIIN0000000504,Urology,Low
13.0,NPIIN0000000505,Pulmonology,Low
0.0,NPIIN0000000506,Cardiology,Low
0.0,NPIIN0000000507,Neurology,Low
0.0,NPIIN0000000508,General Medicine,Low
0.0,NPIIN0000000509,Dermatology,Low
0.0,NPIIN0000000510,Neurology,Low
0.0,NPIIN0000000511,Cardiology,Low
5.8,NPIIN0000000512,Endocrinology,Low
91.7,NPIIN0000000513,Diabetology,Low
56.0,NPIIN0000000514,Neurology,Low
0.0,NPIIN0000000515,General Medicine,Low
0.0,NPIIN0000000516,Gastroenterology,Low
0.0,NPIIN0000000517,General Medicine,Low
0.1,NPIIN0000000518,Diabetology,Low
0.0,NPIIN0000000519,Cardiology,Low
0.8,NPIIN0000000520,Endocrinology,Low
0.0,NPIIN0000000521,General Medicine,Low
87.1,NPIIN0000000522,Pulmonology,Low
0.0,NPIIN0000000523,Orthopedics,Low
0.5,NPIIN0000000524,Endocrinology,Low
0.0,NPIIN0000000525,Neurology,Low
57.0,NPIIN0000000526,Endocrinology,Medium
0.0,NPIIN0000000527,Gastroenterology,Low
0.0,NPIIN0000000528,Cardiology,Low
0.0,NPIIN0000000529,Neurology,Low
69.1,NPIIN0000000530,Endocrinology,Low
68.8,NPIIN0000000531,Endocrinology,Low
0.0,NPIIN0000000532,Pulmonology,Low
0.5,NPIIN0000000533,General Medicine,Low
85.6,NPIIN0000000534,General Medicine,Low
65.2,NPIIN0000000535,Diabetology,Low
0.0,NPIIN0000000536,Orthopedics,Low
0.3,NPIIN0000000537,Diabetology,Low
0.0,NPIIN0000000538,Pulmonology,Low
0.0,NPIIN0000000539,Dermatology,Low
0.0,NPIIN0000000540,Neurology,Low
0.0,NPIIN0000000541,Diabetology,Low
0.0,NPIIN0000000542,Pulmonology,Low
0.0,NPIIN0000000543,Cardiology,Low
82.2,NPIIN0000000544,Pulmonology,Low
54.5,NPIIN0000000545,General Medicine,Low
72.4,NPIIN0000000546,Gastroenterology,Low
0.0,NPIIN0000000547,Dermatology,Low
37.7,NPIIN0000000548,Endocrinology,Low
0.0,NPIIN0000000549,Cardiology,Low
0.0,NPIIN0000000550,General Medicine,Low
0.0,NPIIN0000000551,Pulmonology,Low
87.0,NPIIN0000000552,General Medicine,Low
0.0,NPIIN0000000553,Pulmonology,Low
0.7,NPIIN0000000554,General Medicine,Low
0.0,NPIIN0000000555,Orthopedics,Low
2.6,NPIIN0000000556,General Medicine,Low
0.0,NPIIN0000000557,Cardiology,Low
47.2,NPIIN0000000558,Diabetology,Low
85.1,NPIIN0000000559,Pulmonology,Low
0.2,NPIIN0000000560,Diabetology,Low
0.1,NPIIN0000000561,Diabetology,Low
1.1,NPIIN0000000562,General Medicine,Low
0.0,NPIIN0000000563,Gastroenterology,Low
0.0,NPIIN0000000564,Orthopedics,Low
0.0,NPIIN0000000565,General Medicine,Low
48.3,NPIIN0000000566,Endocrinology,Low
0.4,NPIIN0000000567,General Medicine,Low
1.4,NPIIN0000000568,General Medicine,Low
0.0,NPIIN0000000569,Orthopedics,Low
0.0,NPIIN0000000570,General Medicine,Low
0.0,NPIIN0000000571,Neurology,Low
0.0,NPIIN0000000572,Urology,Low
0.0,NPIIN0000000573,Pulmonology,Low
7.6,NPIIN0000000574,Diabetology,Low
0.0,NPIIN0000000575,Pulmonology,Low
25.2,NPIIN0000000576,General Medicine,Low
72.7,NPIIN0000000577,General Medicine,Low
0.4,NPIIN0000000578,Orthopedics,Low
50.0,NPIIN0000000579,Diabetology,Low
0.0,NPIIN0000000580,General Medicine,Low
84.1,NPIIN0000000581,Endocrinology,Low
0.3,NPIIN0000000582,Endocrinology,Low
0.0,NPIIN0000000583,Pulmonology,Low
0.0,NPIIN0000000584,Gastroenterology,Low
0.1,NPIIN0000000585,Neurology,Low
83.3,NPIIN0000000586,Diabetology,Very High
0.0,NPIIN0000000587,Cardiology,Low
6.9,NPIIN0000000588,General Medicine,Low
7.6,NPIIN0000000589,General Medicine,Low
0.0,NPIIN0000000590,Gastroenterology,Low
0.1,NPIIN0000000591,Neurology,Low
0.3,NPIIN0000000592,Urology,Low
0.0,NPIIN0000000593,Gastroenterology,Low
0.0,NPIIN0000000594,General Medicine,Low
0.0,NPIIN0000000595,Neurology,Low
0.0,NPIIN0000000596,Gastroenterology,Low
15.1,NPIIN0000000597,Orthopedics,Low
46.7,NPIIN0000000598,General Medicine,Low
0.0,NPIIN0000000599,Neurology,Low
7.0,NPIIN0000000600,General Medicine,Low
0.0,NPIIN0000000601,Gastroenterology,Low
