hcp_id,specialty,locality,zone,Probability_Active,Positive_Demand,Expected_3M_Demand,Potential_Score,Potential_Category,final_hcp_score,Samples
NPIIN0000002815,Cardiology,Nungambakkam,Central Chennai,0.9615766124123778,1.02848,1.02848,55.1,Medium,0.5475116,276
NPIIN0000004210,Cardiology,Mylapore,Central Chennai,0.9612078608969454,1.0362544,1.0362544,55.1,Medium,0.54720867,275
NPIIN0000005933,Cardiology,Mylapore,Central Chennai,0.9064071042402359,0.90089905,0.90089905,54.7,Medium,0.54310215,273
NPIIN0000003720,Neurology,Tondiarpet,North Chennai,0.9274935976212567,1.0416334,1.0416334,54.3,Medium,0.5396649,272
NPIIN0000010291,Cardiology,Nungambakkam,Central Chennai,0.9446098286293213,0.91662633,0.91662633,53.9,Medium,0.5350862,269
NPIIN0000010602,Pulmonology,Adyar,South Chennai,0.9623476475470905,1.0157933,1.0157933,53.7,Medium,0.5335355,269
NPIIN0000006204,Cardiology,T Nagar,Central Chennai,0.9214657338679585,1.0197444,1.0197444,53.6,Medium,0.5326384,268
NPIIN0000010455,Cardiology,Royapuram,North Chennai,0.9166081941969322,1.0161698,1.0161698,53.3,Medium,0.52915365,266
NPIIN0000004102,General Medicine,Velachery,South Chennai,0.30700905942713497,1.048898,1.048898,53.1,Medium,0.52737993,266
NPIIN0000008569,Neurology,Tambaram,South Chennai,0.5340086570684526,1.0465939,1.0465939,53.1,Medium,0.52721965,265
NPIIN0000010929,General Medicine,Guindy,South Chennai,0.5606604598936765,1.0415626,1.0415626,52.9,Medium,0.52548724,265
NPIIN0000008002,Orthopedics,Tambaram,South Chennai,0.5550663014935945,1.0380259,1.0380259,52.7,Medium,0.52304304,263
NPIIN0000003780,General Medicine,Tambaram,South Chennai,0.5256001100984948,1.0348828,1.0348828,52.5,Medium,0.5219483,263
NPIIN0000004884,Diabetology,Kilpauk,Central Chennai,0.3466722256940589,1.022053,1.022053,51.6,Medium,0.5123136,258
NPIIN0000003355,Cardiology,Washermenpet,North Chennai,0.959309411070391,0.82418,0.82418,51.3,Medium,0.5090833,256
NPIIN0000001787,Pulmonology,T Nagar,Central Chennai,0.9527709701993771,0.8586875,0.8586875,50.6,Medium,0.50259995,253
NPIIN0000002295,General Medicine,Nungambakkam,Central Chennai,0.9425191713783923,0.8541734,0.8541734,50.3,Medium,0.4991469,251
NPIIN0000004226,General Medicine,Sholinganallur,South Chennai,0.8949121964411925,0.8665005,0.8665005,50.0,Medium,0.49692002,250
NPIIN0000006268,General Medicine,Guindy,South Chennai,0.9530613577849603,0.79914486,0.79914486,49.6,Medium,0.49224386,248
NPIIN0000009377,Orthopedics,Adyar,South Chennai,0.9519280875675554,0.85693324,0.85693324,49.4,Medium,0.49044865,247
NPIIN0000002393,General Medicine,Tondiarpet,North Chennai,0.7711040355597376,0.90430534,0.90430534,48.8,Medium,0.48453122,244
NPIIN0000008579,Cardiology,Adyar,South Chennai,0.9148666063201492,0.77173495,0.77173495,48.1,Medium,0.47803771,241
NPIIN0000002883,Cardiology,Perambur,North Chennai,0.9123469098998144,0.7624155,0.7624155,48.1,Medium,0.47734043,240
NPIIN0000003509,Cardiology,Sholinganallur,South Chennai,0.9397266853428397,0.81771684,0.81771684,47.9,Medium,0.47590953,240
NPIIN0000006533,Cardiology,Velachery,South Chennai,0.021951323454043426,0.9165337,0.9165337,46.6,Medium,0.46247616,233
NPIIN0000005108,Cardiology,Nungambakkam,Central Chennai,0.8173090469368893,0.78856945,0.78856945,45.9,Medium,0.4561074,230
NPIIN0000002934,Cardiology,Sholinganallur,South Chennai,0.8162603852311269,0.79186106,0.79186106,45.7,Medium,0.45379555,228
NPIIN0000007661,General Medicine,Perambur,North Chennai,0.9238687993890133,0.81813276,0.81813276,45.7,Medium,0.45367634,228
NPIIN0000008772,Diabetology,Guindy,South Chennai,0.0071676989589069045,0.89530635,0.89530635,45.1,Medium,0.44788575,225
NPIIN0000009824,General Medicine,Perambur,North Chennai,0.9339635635383885,0.7115967,0.7115967,45.0,Medium,0.44704846,225
NPIIN0000001499,Cardiology,Egmore,Central Chennai,0.5169319021004891,0.87574816,0.87574816,44.8,Medium,0.4445829,224
NPIIN0000007294,Cardiology,Anna Nagar,Central Chennai,0.007281712657996269,0.8884957,0.8884957,44.7,Medium,0.44428816,224
NPIIN0000005098,General Medicine,Porur,South Chennai,0.8926307052029692,0.83164036,0.83164036,44.6,Medium,0.44324994,223
NPIIN0000004759,General Medicine,Anna Nagar,Central Chennai,0.8140769062571236,0.76768553,0.76768553,44.3,Medium,0.43983203,221
NPIIN0000009229,Cardiology,Sholinganallur,South Chennai,0.004841444557256962,0.8601701,0.8601701,43.4,Medium,0.43106902,217
NPIIN0000007938,Cardiology,Nungambakkam,Central Chennai,0.2563196176785963,0.8388388,0.8388388,43.0,Medium,0.42662105,215
NPIIN0000010419,Cardiology,Anna Nagar,Central Chennai,0.8964561283977303,0.7899395,0.7899395,42.9,Medium,0.42634252,215
NPIIN0000009894,Cardiology,Adyar,South Chennai,0.41804865829576576,0.7272986,0.7272986,42.9,Medium,0.42608756,215
NPIIN0000003378,Cardiology,Porur,South Chennai,0.8883379817294903,0.78236806,0.78236806,42.4,Medium,0.4207233,212
NPIIN0000003592,Cardiology,Kilpauk,Central Chennai,0.005631071489093629,0.8359653,0.8359653,42.2,Medium,0.41920304,211
NPIIN0000002704,Cardiology,Adyar,South Chennai,0.7234944757110902,0.7450228,0.7450228,42.1,Medium,0.4184487,211
NPIIN0000011221,Cardiology,Madhavaram,North Chennai,0.8370425377564716,0.7525265,0.7525265,42.1,Medium,0.41828537,211
NPIIN0000000089,Cardiology,Nungambakkam,Central Chennai,0.5578045669524199,0.7938341,0.7938341,42.1,Medium,0.41813856,211
NPIIN0000005752,General Medicine,Madhavaram,North Chennai,0.9378210489436092,0.64925945,0.64925945,42.0,Medium,0.4176348,210
NPIIN0000004932,Cardiology,Sholinganallur,South Chennai,0.41940677567255036,0.761173,0.761173,42.0,Medium,0.4173279,210
NPIIN0000001502,Diabetology,Velachery,South Chennai,0.6508232352494213,0.7500336,0.7500336,41.4,Medium,0.41095418,207
NPIIN0000001203,Pulmonology,Sholinganallur,South Chennai,0.9504780840018482,0.63436484,0.63436484,41.1,Medium,0.4082059,205
NPIIN0000003256,Cardiology,Tambaram,South Chennai,0.9371975593747811,0.62776196,0.62776196,40.7,Medium,0.40409604,203
NPIIN0000001313,Cardiology,Ambattur,North Chennai,0.8915244081144811,0.7411357,0.7411357,40.5,Medium,0.40220267,202
NPIIN0000002868,Cardiology,Madhavaram,North Chennai,0.6075802808278605,0.72904944,0.72904944,40.3,Medium,0.40037885,202
NPIIN0000009033,Cardiology,Washermenpet,North Chennai,0.7202412029142132,0.7021582,0.7021582,40.1,Medium,0.39838278,201
NPIIN0000004246,General Medicine,Egmore,Central Chennai,0.018876267050798742,0.77700436,0.77700436,39.2,Low,0.38897043,196
NPIIN0000005047,Cardiology,Egmore,Central Chennai,0.8887349699104715,0.5882063,0.5882063,39.1,Low,0.38877392,196
NPIIN0000009210,Cardiology,Velachery,South Chennai,0.10589582678467654,0.7695756,0.7695756,39.0,Low,0.38727683,195
NPIIN0000001610,Diabetology,Perambur,North Chennai,0.01943199009513786,0.7677262,0.7677262,38.6,Low,0.38349172,193
NPIIN0000007009,Cardiology,T Nagar,Central Chennai,0.008223528859438459,0.76515293,0.76515293,38.5,Low,0.38211235,192
NPIIN0000004273,Cardiology,Adyar,South Chennai,0.2172305936841651,0.5890373,0.5890373,38.3,Low,0.38062263,192
NPIIN0000004864,Cardiology,Sholinganallur,South Chennai,0.9220985612858458,0.56491923,0.56491923,38.0,Low,0.3773501,190
NPIIN0000008738,General Medicine,Anna Nagar,Central Chennai,0.5685866409353583,0.69152737,0.69152737,38.0,Low,0.37703273,190
NPIIN0000010963,General Medicine,Tambaram,South Chennai,0.675421906550127,0.58753705,0.58753705,37.7,Low,0.3747781,189
NPIIN0000007392,Cardiology,Egmore,Central Chennai,0.8367308096117303,0.5860126,0.5860126,37.3,Low,0.37067592,187
NPIIN0000009177,Cardiology,Royapuram,North Chennai,0.8393271330256075,0.6067407,0.6067407,36.8,Low,0.36513284,184
NPIIN0000010503,Cardiology,Mylapore,Central Chennai,0.9240296894492526,0.5304278,0.5304278,36.7,Low,0.36488026,184
NPIIN0000001854,General Medicine,Adyar,South Chennai,0.5018686421339217,0.65539455,0.65539455,36.6,Low,0.3631124,183
