hcp_id,specialty,locality,zone,Expected_3M_Demand,Potential_Score,Potential_Category,Samples
NPIIN0000011752,Endocrinology,Kilpauk,Central Chennai,1.5154261650365703,44.6,Medium,219
NPIIN0000004502,Endocrinology,Washermenpet,North Chennai,1.901278984630723,44.5,Medium,218
NPIIN0000009532,Diabetology,Adyar,South Chennai,1.4846827100915094,44.5,Medium,218
NPIIN0000008201,Diabetology,Anna Nagar,Central Chennai,1.483791428979495,44.4,Medium,218
NPIIN0000007212,Diabetology,Adyar,South Chennai,1.4695525509202203,44.1,Medium,216
NPIIN0000003408,Endocrinology,Mylapore,Central Chennai,1.5658877922272814,44.0,Medium,216
NPIIN0000004245,Diabetology,Velachery,South Chennai,1.539421165871552,43.9,Medium,215
NPIIN0000005759,Diabetology,Nungambakkam,Central Chennai,1.5500271388311933,43.9,Medium,215
NPIIN0000008962,Diabetology,Ambattur,North Chennai,1.5676520954094606,43.3,Medium,212
NPIIN0000006146,Diabetology,Tambaram,South Chennai,1.5724487620095595,43.3,Medium,212
NPIIN0000000905,Endocrinology,Porur,South Chennai,1.4287209291741305,42.9,Medium,210
