Prscrbr_NPI,Prscrbr_Last_Org_Name,Prscrbr_First_Name,Prscrbr_City,Prscrbr_District,Prscrbr_State_Abrvtn,Prscrbr_State_FIPS,Prscrbr_Type,Prscrbr_Type_Src,Specialty,Locality
NPIIN1000000036,Subramanian,Kavya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Mogappair
NPIIN1000000037,Menon,Nandhini,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Orthopedics,Perambur
NPIIN1000000038,Iyer,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Egmore
NPIIN1000000039,Krishnan,Nandhini,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Dermatology,Ambattur
NPIIN1000000040,Narayanan,Hari,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Adyar
NPIIN1000000041,Subramanian,Kavya,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Pulmonology,Ambattur
NPIIN1000000042,Subramanian,Lakshmi,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,General Medicine,Mogappair
NPIIN1000000043,Kumar,Prakash,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Chromepet
NPIIN1000000044,Menon,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Ambattur
NPIIN1000000045,Narayanan,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Pallavaram
NPIIN1000000046,Subramanian,Hari,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Egmore
NPIIN1000000047,Iyer,Divya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Pallavaram
NPIIN1000000048,Krishnan,Nandhini,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pediatrics,Adyar
NPIIN1000000049,Menon,Lakshmi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Neurology,Guindy
NPIIN1000000050,Menon,Hari,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,General Medicine,Sholinganallur
NPIIN1000000051,Rajan,Karthik,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Tambaram
NPIIN1000000052,Krishnan,Suresh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Guindy
NPIIN1000000053,Narayanan,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Ambattur
NPIIN1000000054,Krishnan,Suresh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Alandur
NPIIN1000000055,Subramanian,Swetha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Anna Nagar
NPIIN1000000056,Narayanan,Priya,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Endocrinology,Tambaram
NPIIN1000000057,Krishnan,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Mogappair
NPIIN1000000058,Narayanan,Suresh,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Urology,Sholinganallur
NPIIN1000000059,Sharma,Priya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pediatrics,Chromepet
NPIIN1000000060,Rajan,Divya,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,General Medicine,Guindy
NPIIN1000000061,Kumar,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Sholinganallur
NPIIN1000000062,Rajan,Suresh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Tambaram
NPIIN1000000063,Murugan,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Thiruvanmiyur
NPIIN1000000064,Menon,Divya,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,General Medicine,Nungambakkam
NPIIN1000000065,Iyer,Lakshmi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,T Nagar
NPIIN1000000066,Rajan,Swetha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Guindy
NPIIN1000000067,Kumar,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Chromepet
NPIIN1000000068,Rajan,Ravi,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,General Medicine,Kodambakkam
NPIIN1000000069,Iyer,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Velachery
NPIIN1000000070,Iyer,Divya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Mogappair
NPIIN1000000071,Subramanian,Karthik,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Sholinganallur
NPIIN1000000072,Sharma,Meena,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Dermatology,T Nagar
NPIIN1000000073,Krishnan,Rajesh,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Pediatrics,Velachery
NPIIN1000000074,Krishnan,Rajesh,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Cardiology,Nungambakkam
NPIIN1000000075,Menon,Vijay,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Nungambakkam
NPIIN1000000076,Murugan,Priya,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Pulmonology,Mogappair
NPIIN1000000077,Murugan,Sathish,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Dermatology,Chromepet
NPIIN1000000078,Murugan,Nandhini,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Neurology,Perambur
NPIIN1000000079,Rajan,Hari,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Pallavaram
NPIIN1000000080,Murugan,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Tambaram
NPIIN1000000081,Reddy,Karthik,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Pallavaram
NPIIN1000000082,Kumar,Hari,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Mogappair
NPIIN1000000083,Subramanian,Prakash,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Ambattur
NPIIN1000000084,Krishnan,Rajesh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Sholinganallur
NPIIN1000000085,Murugan,Rajesh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Nungambakkam
NPIIN1000000086,Menon,Priya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Neurology,Tambaram
NPIIN1000000087,Subramanian,Prakash,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Thiruvanmiyur
NPIIN1000000088,Kumar,Rajesh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Dermatology,Nungambakkam
NPIIN1000000089,Sharma,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Mylapore
NPIIN1000000090,Subramanian,Suresh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Thiruvanmiyur
NPIIN1000000091,Sharma,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Ambattur
NPIIN1000000092,Rajan,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Thiruvanmiyur
NPIIN1000000093,Krishnan,Anitha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Mylapore
NPIIN1000000094,Subramanian,Vijay,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pediatrics,Kodambakkam
NPIIN1000000095,Narayanan,Swetha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Mylapore
NPIIN1000000096,Murugan,Swetha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Egmore
NPIIN1000000097,Sharma,Priya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Sholinganallur
NPIIN1000000098,Reddy,Sathish,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Alandur
NPIIN1000000099,Sharma,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Dermatology,Royapettah
NPIIN1000000100,Narayanan,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Mogappair
NPIIN1000000101,Krishnan,Arun,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,General Medicine,Royapettah
NPIIN1000000102,Sharma,Priya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Tambaram
NPIIN1000000103,Krishnan,Divya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Nungambakkam
NPIIN1000000104,Murugan,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Guindy
NPIIN1000000105,Subramanian,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Adyar
NPIIN1000000106,Menon,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Nungambakkam
NPIIN1000000107,Kumar,Kavya,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Pediatrics,Alandur
NPIIN1000000108,Murugan,Nandhini,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Guindy
NPIIN1000000109,Kumar,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Chromepet
NPIIN1000000110,Subramanian,Divya,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Endocrinology,Adyar
NPIIN1000000111,Sharma,Anitha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Royapettah
NPIIN1000000112,Krishnan,Karthik,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Egmore
NPIIN1000000113,Subramanian,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Adyar
NPIIN1000000114,Sharma,Prakash,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Endocrinology,Ambattur
NPIIN1000000115,Reddy,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,T Nagar
NPIIN1000000116,Sharma,Divya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Alandur
NPIIN1000000117,Kumar,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pediatrics,T Nagar
NPIIN1000000118,Subramanian,Suresh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Neurology,T Nagar
NPIIN1000000119,Reddy,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Thiruvanmiyur
NPIIN1000000120,Narayanan,Vijay,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Pallavaram
NPIIN1000000121,Krishnan,Suresh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Mylapore
NPIIN1000000122,Subramanian,Vijay,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Guindy
NPIIN1000000123,Narayanan,Sathish,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Nungambakkam
NPIIN1000000124,Rajan,Arun,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Guindy
NPIIN1000000125,Menon,Sathish,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Sholinganallur
NPIIN1000000126,Subramanian,Divya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Dermatology,Egmore
NPIIN1000000127,Sharma,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Alandur
NPIIN1000000128,Iyer,Lakshmi,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Psychiatry,Thiruvanmiyur
NPIIN1000000129,Subramanian,Sathish,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Perambur
NPIIN1000000130,Subramanian,Arun,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Pediatrics,T Nagar
NPIIN1000000131,Kumar,Kavya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Thiruvanmiyur
NPIIN1000000132,Menon,Anitha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Tambaram
NPIIN1000000133,Reddy,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Chromepet
NPIIN1000000134,Menon,Arun,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pediatrics,Thiruvanmiyur
NPIIN1000000135,Murugan,Priya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Chromepet
NPIIN1000000136,Menon,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Neurology,Alandur
NPIIN1000000137,Kumar,Priya,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Diabetology,Alandur
NPIIN1000000138,Subramanian,Nandhini,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,T Nagar
NPIIN1000000139,Murugan,Sathish,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Kodambakkam
NPIIN1000000140,Iyer,Vijay,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Orthopedics,Thiruvanmiyur
NPIIN1000000141,Kumar,Arun,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Alandur
NPIIN1000000142,Rajan,Lakshmi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Kodambakkam
NPIIN1000000143,Iyer,Arun,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Dermatology,Perambur
NPIIN1000000144,Narayanan,Anitha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Dermatology,Guindy
NPIIN1000000145,Sharma,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Guindy
NPIIN1000000146,Krishnan,Vijay,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,T Nagar
NPIIN1000000147,Narayanan,Deepa,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Cardiology,Sholinganallur
NPIIN1000000148,Narayanan,Prakash,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Diabetology,Kodambakkam
NPIIN1000000149,Krishnan,Divya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Nungambakkam
NPIIN1000000150,Menon,Prakash,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Psychiatry,Mogappair
NPIIN1000000151,Krishnan,Arun,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Adyar
NPIIN1000000152,Murugan,Arun,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Tambaram
NPIIN1000000153,Subramanian,Lakshmi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Porur
NPIIN1000000154,Reddy,Karthik,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Thiruvanmiyur
NPIIN1000000155,Kumar,Suresh,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Diabetology,Anna Nagar
NPIIN1000000156,Kumar,Nandhini,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Tambaram
NPIIN1000000157,Menon,Suresh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Ambattur
NPIIN1000000158,Rajan,Meena,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Orthopedics,Adyar
NPIIN1000000159,Narayanan,Rajesh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Thiruvanmiyur
NPIIN1000000160,Sharma,Swetha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Porur
NPIIN1000000161,Sharma,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Velachery
NPIIN1000000162,Reddy,Swetha,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Urology,Perambur
NPIIN1000000163,Kumar,Arun,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Velachery
NPIIN1000000164,Kumar,Sathish,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Pallavaram
NPIIN1000000165,Kumar,Vijay,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Guindy
NPIIN1000000166,Kumar,Nandhini,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Kodambakkam
NPIIN1000000167,Menon,Vijay,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Neurology,Guindy
NPIIN1000000168,Iyer,Priya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Perambur
NPIIN1000000169,Rajan,Prakash,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Diabetology,Royapettah
NPIIN1000000170,Subramanian,Vijay,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Diabetology,Alandur
NPIIN1000000171,Rajan,Karthik,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Tambaram
NPIIN1000000172,Menon,Anitha,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Pediatrics,Guindy
NPIIN1000000173,Reddy,Sathish,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Urology,Nungambakkam
NPIIN1000000174,Kumar,Suresh,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Diabetology,Tambaram
NPIIN1000000175,Subramanian,Arun,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Alandur
NPIIN1000000176,Sharma,Swetha,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Orthopedics,Egmore
NPIIN1000000177,Iyer,Hari,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Kodambakkam
NPIIN1000000178,Krishnan,Prakash,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Velachery
NPIIN1000000179,Iyer,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Egmore
NPIIN1000000180,Iyer,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Royapettah
NPIIN1000000181,Reddy,Prakash,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Perambur
NPIIN1000000182,Murugan,Prakash,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Alandur
NPIIN1000000183,Iyer,Rajesh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Neurology,Tambaram
NPIIN1000000184,Sharma,Kavya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pediatrics,Pallavaram
NPIIN1000000185,Narayanan,Nandhini,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Mylapore
NPIIN1000000186,Kumar,Meena,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Psychiatry,Sholinganallur
NPIIN1000000187,Iyer,Vijay,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pediatrics,T Nagar
NPIIN1000000188,Reddy,Suresh,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,General Medicine,Mogappair
NPIIN1000000189,Krishnan,Anitha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Perambur
NPIIN1000000190,Narayanan,Hari,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,T Nagar
NPIIN1000000191,Rajan,Nandhini,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Alandur
NPIIN1000000192,Kumar,Anitha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Royapettah
NPIIN1000000193,Reddy,Divya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,General Medicine,Sholinganallur
NPIIN1000000194,Reddy,Lakshmi,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Urology,Perambur
