hcp_id,specialty,locality,zone,Expected_3M_Demand,Potential_Score,Potential_Category,Samples
NPIIN0000011704,Diabetology,Ambattur,North Chennai,2.1176852304800695,57.3,Medium,252
NPIIN0000008159,Diabetology,Egmore,Central Chennai,2.1185375614153337,57.3,Medium,252
NPIIN0000011678,Endocrinology,Sholinganallur,South Chennai,1.768120953752751,57.0,Medium,251
NPIIN0000010374,Diabetology,Nungambakkam,Central Chennai,1.7387578551902194,56.7,Medium,250
NPIIN0000009656,Diabetology,Sholinganallur,South Chennai,1.7382395281232226,56.6,Medium,249
NPIIN0000008084,Endocrinology,Royapuram,North Chennai,1.7656002242128988,55.8,Medium,246
NPIIN0000001764,Diabetology,Egmore,Central Chennai,1.6800701323319218,55.6,Medium,245
NPIIN0000006335,Diabetology,Porur,South Chennai,1.6576946843847937,54.5,Medium,240
NPIIN0000001722,Endocrinology,Anna Nagar,Central Chennai,1.7004024698864253,54.4,Medium,240
NPIIN0000000031,Endocrinology,Adyar,South Chennai,1.6658361006087425,54.2,Medium,239
NPIIN0000000649,Endocrinology,Sholinganallur,South Chennai,1.6268115287080092,54.1,Medium,238
NPIIN0000007975,Endocrinology,Sholinganallur,South Chennai,1.6592973028210256,53.7,Medium,237
NPIIN0000007589,Diabetology,Ambattur,North Chennai,1.6669691613403381,53.3,Medium,235
NPIIN0000000951,General Medicine,Ambattur,North Chennai,1.964839839219409,53.1,Medium,234
NPIIN0000011637,Diabetology,Sholinganallur,South Chennai,1.6379404130847623,53.1,Medium,234
NPIIN0000000238,Diabetology,Porur,South Chennai,1.758049568338993,53.0,Medium,233
NPIIN0000009980,Endocrinology,Kilpauk,Central Chennai,1.6135060747893297,52.9,Medium,233
NPIIN0000001296,Diabetology,Madhavaram,North Chennai,1.6025514968607535,52.7,Medium,232
NPIIN0000001469,Endocrinology,Guindy,South Chennai,1.6492684582931136,51.6,Medium,227
NPIIN0000002660,Diabetology,Kilpauk,Central Chennai,1.6449700534505862,51.5,Medium,227
NPIIN0000011679,Endocrinology,Madhavaram,North Chennai,1.5489405318268232,51.3,Medium,226
NPIIN0000002803,Diabetology,T Nagar,Central Chennai,1.7020375658430984,51.2,Medium,226
NPIIN0000000173,Diabetology,Mylapore,Central Chennai,1.5159866796948098,51.1,Medium,225
NPIIN0000008587,Endocrinology,T Nagar,Central Chennai,1.5339774206297108,50.8,Medium,224
NPIIN0000008455,Endocrinology,Anna Nagar,Central Chennai,1.6507741629441908,50.8,Medium,224
NPIIN0000008263,Diabetology,Guindy,South Chennai,1.5898192775369548,50.7,Medium,224
NPIIN0000002278,Endocrinology,Kilpauk,Central Chennai,1.6854259661428526,50.7,Medium,223
NPIIN0000003160,Endocrinology,Egmore,Central Chennai,1.8667166621099687,50.5,Medium,222
NPIIN0000008798,Endocrinology,Tondiarpet,North Chennai,1.6532148783798908,50.4,Medium,222
NPIIN0000002865,Endocrinology,Madhavaram,North Chennai,1.5166761850614066,50.4,Medium,222
NPIIN0000006461,Diabetology,Mylapore,Central Chennai,1.8577354114046538,50.3,Medium,222
NPIIN0000006372,Endocrinology,Egmore,Central Chennai,1.6860044505204195,49.8,Medium,220
NPIIN0000000792,Endocrinology,Tondiarpet,North Chennai,1.581789019790452,49.8,Medium,219
NPIIN0000005349,Endocrinology,Adyar,South Chennai,1.583906823937139,49.5,Medium,218
NPIIN0000005766,Diabetology,Madhavaram,North Chennai,1.4655516730202756,49.5,Medium,218
NPIIN0000001702,Diabetology,Sholinganallur,South Chennai,1.5052054743758254,49.5,Medium,218
NPIIN0000000091,General Medicine,Egmore,Central Chennai,1.7716291471892094,49.4,Medium,218
NPIIN0000007051,General Medicine,Sholinganallur,South Chennai,1.4846453591952176,49.2,Medium,217
NPIIN0000001938,Diabetology,Madhavaram,North Chennai,1.4966627242221089,49.0,Medium,216
NPIIN0000010733,Endocrinology,Guindy,South Chennai,1.5304574888351927,49.0,Medium,216
NPIIN0000005853,Endocrinology,Nungambakkam,Central Chennai,1.5618931831842149,48.9,Medium,216
NPIIN0000002033,Endocrinology,Mylapore,Central Chennai,1.5148524969420254,48.9,Medium,215
NPIIN0000006087,Endocrinology,Royapuram,North Chennai,1.5431315837848578,48.6,Medium,214
NPIIN0000005435,Diabetology,Adyar,South Chennai,1.4534620128089948,48.5,Medium,214
NPIIN0000004763,Diabetology,Guindy,South Chennai,1.4317034476887804,48.5,Medium,214
NPIIN0000005038,Endocrinology,Egmore,Central Chennai,1.4294052874762715,48.5,Medium,213
NPIIN0000006926,Endocrinology,T Nagar,Central Chennai,1.483759767592012,48.4,Medium,213
NPIIN0000006778,Diabetology,Royapuram,North Chennai,1.5298233487253707,48.3,Medium,213
NPIIN0000003416,Endocrinology,T Nagar,Central Chennai,1.441250292078905,48.3,Medium,213
NPIIN0000004435,Endocrinology,Ambattur,North Chennai,1.405551599814888,48.1,Medium,212
NPIIN0000000772,Diabetology,Ambattur,North Chennai,1.5376420028654765,48.1,Medium,212
NPIIN0000003986,Endocrinology,Nungambakkam,Central Chennai,1.4711824776975766,48.1,Medium,212
NPIIN0000010514,Dermatology,Perambur,North Chennai,1.4692858347897972,48.0,Medium,212
NPIIN0000005727,Endocrinology,Tambaram,South Chennai,1.4378775699865078,48.0,Medium,211
NPIIN0000002077,Diabetology,Porur,South Chennai,1.393729579207835,47.7,Medium,210
