HCP_ID,HCP_Name,Specialty,City,Locality,Zone
NPIIN0000000040,HCP_00040,Pulmonology,Chennai,Velachery,South Chennai
NPIIN0000000041,HCP_00041,Cardiology,Chennai,Madhavaram,North Chennai
NPIIN0000000042,HCP_00042,Dermatology,Chennai,Sholinganallur,South Chennai
NPIIN0000000043,HCP_00043,Urology,Chennai,Guindy,South Chennai
NPIIN0000000044,HCP_00044,Cardiology,Chennai,Mylapore,Central Chennai
NPIIN0000000045,HCP_00045,Cardiology,Chennai,Guindy,South Chennai
NPIIN0000000046,HCP_00046,Neurology,Chennai,Guindy,South Chennai
NPIIN0000000047,HCP_00047,Pulmonology,Chennai,Tondiarpet,North Chennai
NPIIN0000000048,HCP_00048,General Medicine,Chennai,Nungambakkam,Central Chennai
NPIIN0000000049,HCP_00049,Pulmonology,Chennai,Adyar,South Chennai
NPIIN0000000050,HCP_00050,Neurology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000051,HCP_00051,General Medicine,Chennai,Egmore,Central Chennai
NPIIN0000000052,HCP_00052,Endocrinology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000053,HCP_00053,Cardiology,Chennai,Adyar,South Chennai
NPIIN0000000054,HCP_00054,General Medicine,Chennai,Porur,South Chennai
NPIIN0000000055,HCP_00055,Urology,Chennai,Porur,South Chennai
NPIIN0000000056,HCP_00056,Pulmonology,Chennai,Guindy,South Chennai
NPIIN0000000057,HCP_00057,General Medicine,Chennai,Tondiarpet,North Chennai
NPIIN0000000058,HCP_00058,Urology,Chennai,Washermenpet,North Chennai
NPIIN0000000059,HCP_00059,General Medicine,Chennai,T Nagar,Central Chennai
NPIIN0000000060,HCP_00060,General Medicine,Chennai,Nungambakkam,Central Chennai
NPIIN0000000061,HCP_00061,Cardiology,Chennai,Adyar,South Chennai
NPIIN0000000062,HCP_00062,Gastroenterology,Chennai,Tondiarpet,North Chennai
NPIIN0000000063,HCP_00063,Neurology,Chennai,Washermenpet,North Chennai
NPIIN0000000064,HCP_00064,Dermatology,Chennai,Porur,South Chennai
NPIIN0000000065,HCP_00065,Diabetology,Chennai,Guindy,South Chennai
NPIIN0000000066,HCP_00066,General Medicine,Chennai,Madhavaram,North Chennai
NPIIN0000000067,HCP_00067,Endocrinology,Chennai,Ambattur,North Chennai
NPIIN0000000068,HCP_00068,Orthopedics,Chennai,Anna Nagar,Central Chennai
NPIIN0000000069,HCP_00069,Cardiology,Chennai,Anna Nagar,Central Chennai
NPIIN0000000070,HCP_00070,Neurology,Chennai,Tondiarpet,North Chennai
NPIIN0000000071,HCP_00071,Neurology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000072,HCP_00072,Endocrinology,Chennai,Ambattur,North Chennai
NPIIN0000000073,HCP_00073,General Medicine,Chennai,Velachery,South Chennai
NPIIN0000000074,HCP_00074,Cardiology,Chennai,T Nagar,Central Chennai
NPIIN0000000075,HCP_00075,Pulmonology,Chennai,T Nagar,Central Chennai
NPIIN0000000076,HCP_00076,Orthopedics,Chennai,Kilpauk,Central Chennai
NPIIN0000000077,HCP_00077,General Medicine,Chennai,T Nagar,Central Chennai
NPIIN0000000078,HCP_00078,Orthopedics,Chennai,Sholinganallur,South Chennai
NPIIN0000000079,HCP_00079,Cardiology,Chennai,Royapuram,North Chennai
NPIIN0000000080,HCP_00080,General Medicine,Chennai,Velachery,South Chennai
NPIIN0000000081,HCP_00081,Urology,Chennai,Porur,South Chennai
NPIIN0000000082,HCP_00082,Urology,Chennai,Washermenpet,North Chennai
NPIIN0000000083,HCP_00083,Diabetology,Chennai,Porur,South Chennai
NPIIN0000000084,HCP_00084,Neurology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000085,HCP_00085,Urology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000086,HCP_00086,Gastroenterology,Chennai,Kilpauk,Central Chennai
NPIIN0000000087,HCP_00087,Pulmonology,Chennai,Porur,South Chennai
NPIIN0000000088,HCP_00088,Endocrinology,Chennai,Ambattur,North Chennai
NPIIN0000000089,HCP_00089,Cardiology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000090,HCP_00090,Pulmonology,Chennai,Royapuram,North Chennai
NPIIN0000000091,HCP_00091,General Medicine,Chennai,Egmore,Central Chennai
NPIIN0000000092,HCP_00092,Endocrinology,Chennai,Adyar,South Chennai
NPIIN0000000093,HCP_00093,Diabetology,Chennai,Tondiarpet,North Chennai
NPIIN0000000094,HCP_00094,General Medicine,Chennai,Royapuram,North Chennai
NPIIN0000000095,HCP_00095,General Medicine,Chennai,Mylapore,Central Chennai
NPIIN0000000096,HCP_00096,General Medicine,Chennai,Adyar,South Chennai
NPIIN0000000097,HCP_00097,General Medicine,Chennai,Ambattur,North Chennai
NPIIN0000000098,HCP_00098,Cardiology,Chennai,Mylapore,Central Chennai
NPIIN0000000099,HCP_00099,Urology,Chennai,Egmore,Central Chennai
NPIIN0000000100,HCP_00100,Pulmonology,Chennai,Velachery,South Chennai
NPIIN0000000101,HCP_00101,Endocrinology,Chennai,Velachery,South Chennai
NPIIN0000000102,HCP_00102,General Medicine,Chennai,Velachery,South Chennai
NPIIN0000000103,HCP_00103,General Medicine,Chennai,Nungambakkam,Central Chennai
NPIIN0000000104,HCP_00104,Pulmonology,Chennai,Sholinganallur,South Chennai
NPIIN0000000105,HCP_00105,Pulmonology,Chennai,Adyar,South Chennai
NPIIN0000000106,HCP_00106,Neurology,Chennai,Porur,South Chennai
NPIIN0000000107,HCP_00107,Neurology,Chennai,Tondiarpet,North Chennai
NPIIN0000000108,HCP_00108,Cardiology,Chennai,T Nagar,Central Chennai
NPIIN0000000109,HCP_00109,Diabetology,Chennai,T Nagar,Central Chennai
NPIIN0000000110,HCP_00110,Cardiology,Chennai,Sholinganallur,South Chennai
NPIIN0000000111,HCP_00111,General Medicine,Chennai,Ambattur,North Chennai
NPIIN0000000112,HCP_00112,General Medicine,Chennai,Mylapore,Central Chennai
NPIIN0000000113,HCP_00113,Gastroenterology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000114,HCP_00114,Endocrinology,Chennai,Perambur,North Chennai
NPIIN0000000115,HCP_00115,Neurology,Chennai,T Nagar,Central Chennai
NPIIN0000000116,HCP_00116,Diabetology,Chennai,Adyar,South Chennai
NPIIN0000000117,HCP_00117,General Medicine,Chennai,Guindy,South Chennai
NPIIN0000000118,HCP_00118,Gastroenterology,Chennai,Porur,South Chennai
NPIIN0000000119,HCP_00119,Cardiology,Chennai,Ambattur,North Chennai
NPIIN0000000120,HCP_00120,General Medicine,Chennai,Sholinganallur,South Chennai
NPIIN0000000121,HCP_00121,General Medicine,Chennai,Ambattur,North Chennai
NPIIN0000000122,HCP_00122,Gastroenterology,Chennai,Adyar,South Chennai
NPIIN0000000123,HCP_00123,Endocrinology,Chennai,T Nagar,Central Chennai
NPIIN0000000124,HCP_00124,Orthopedics,Chennai,Madhavaram,North Chennai
NPIIN0000000125,HCP_00125,Orthopedics,Chennai,Anna Nagar,Central Chennai
NPIIN0000000126,HCP_00126,Dermatology,Chennai,Ambattur,North Chennai
NPIIN0000000127,HCP_00127,Diabetology,Chennai,Mylapore,Central Chennai
NPIIN0000000128,HCP_00128,Neurology,Chennai,Mylapore,Central Chennai
NPIIN0000000129,HCP_00129,Cardiology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000130,HCP_00130,Urology,Chennai,Madhavaram,North Chennai
NPIIN0000000131,HCP_00131,General Medicine,Chennai,Anna Nagar,Central Chennai
NPIIN0000000132,HCP_00132,Endocrinology,Chennai,Tambaram,South Chennai
NPIIN0000000133,HCP_00133,Diabetology,Chennai,Perambur,North Chennai
NPIIN0000000134,HCP_00134,Dermatology,Chennai,Anna Nagar,Central Chennai
NPIIN0000000135,HCP_00135,Urology,Chennai,Madhavaram,North Chennai
NPIIN0000000136,HCP_00136,General Medicine,Chennai,Mylapore,Central Chennai
NPIIN0000000137,HCP_00137,General Medicine,Chennai,Guindy,South Chennai
NPIIN0000000138,HCP_00138,Gastroenterology,Chennai,Perambur,North Chennai
NPIIN0000000139,HCP_00139,Dermatology,Chennai,Sholinganallur,South Chennai
NPIIN0000000140,HCP_00140,Gastroenterology,Chennai,Kilpauk,Central Chennai
NPIIN0000000141,HCP_00141,General Medicine,Chennai,Tondiarpet,North Chennai
NPIIN0000000142,HCP_00142,Neurology,Chennai,Tondiarpet,North Chennai
NPIIN0000000143,HCP_00143,Dermatology,Chennai,Tambaram,South Chennai
NPIIN0000000144,HCP_00144,Endocrinology,Chennai,Washermenpet,North Chennai
NPIIN0000000145,HCP_00145,General Medicine,Chennai,Royapuram,North Chennai
NPIIN0000000146,HCP_00146,Cardiology,Chennai,Mylapore,Central Chennai
NPIIN0000000147,HCP_00147,General Medicine,Chennai,Kilpauk,Central Chennai
NPIIN0000000148,HCP_00148,Gastroenterology,Chennai,Madhavaram,North Chennai
NPIIN0000000149,HCP_00149,Endocrinology,Chennai,Royapuram,North Chennai
NPIIN0000000150,HCP_00150,Pulmonology,Chennai,T Nagar,Central Chennai
NPIIN0000000151,HCP_00151,Cardiology,Chennai,Porur,South Chennai
NPIIN0000000152,HCP_00152,Urology,Chennai,Guindy,South Chennai
NPIIN0000000153,HCP_00153,Dermatology,Chennai,Anna Nagar,Central Chennai
NPIIN0000000154,HCP_00154,General Medicine,Chennai,Madhavaram,North Chennai
NPIIN0000000155,HCP_00155,Neurology,Chennai,Anna Nagar,Central Chennai
NPIIN0000000156,HCP_00156,Cardiology,Chennai,Velachery,South Chennai
NPIIN0000000157,HCP_00157,Dermatology,Chennai,Kilpauk,Central Chennai
NPIIN0000000158,HCP_00158,Gastroenterology,Chennai,Porur,South Chennai
NPIIN0000000159,HCP_00159,Cardiology,Chennai,Sholinganallur,South Chennai
NPIIN0000000160,HCP_00160,Orthopedics,Chennai,Guindy,South Chennai
NPIIN0000000161,HCP_00161,Cardiology,Chennai,Anna Nagar,Central Chennai
NPIIN0000000162,HCP_00162,Pulmonology,Chennai,Guindy,South Chennai
NPIIN0000000163,HCP_00163,Endocrinology,Chennai,Egmore,Central Chennai
NPIIN0000000164,HCP_00164,Gastroenterology,Chennai,Egmore,Central Chennai
NPIIN0000000165,HCP_00165,Cardiology,Chennai,Tondiarpet,North Chennai
NPIIN0000000166,HCP_00166,Cardiology,Chennai,Tondiarpet,North Chennai
NPIIN0000000167,HCP_00167,General Medicine,Chennai,Adyar,South Chennai
NPIIN0000000168,HCP_00168,Orthopedics,Chennai,Adyar,South Chennai
NPIIN0000000169,HCP_00169,Diabetology,Chennai,Kilpauk,Central Chennai
NPIIN0000000170,HCP_00170,Pulmonology,Chennai,Porur,South Chennai
NPIIN0000000171,HCP_00171,General Medicine,Chennai,Nungambakkam,Central Chennai
NPIIN0000000172,HCP_00172,Dermatology,Chennai,Tondiarpet,North Chennai
NPIIN0000000173,HCP_00173,Diabetology,Chennai,Mylapore,Central Chennai
NPIIN0000000174,HCP_00174,Pulmonology,Chennai,Velachery,South Chennai
NPIIN0000000175,HCP_00175,Orthopedics,Chennai,T Nagar,Central Chennai
NPIIN0000000176,HCP_00176,General Medicine,Chennai,Kilpauk,Central Chennai
NPIIN0000000177,HCP_00177,General Medicine,Chennai,Tondiarpet,North Chennai
NPIIN0000000178,HCP_00178,Urology,Chennai,Velachery,South Chennai
NPIIN0000000179,HCP_00179,General Medicine,Chennai,Guindy,South Chennai
NPIIN0000000180,HCP_00180,General Medicine,Chennai,Adyar,South Chennai
NPIIN0000000181,HCP_00181,Diabetology,Chennai,Tambaram,South Chennai
NPIIN0000000182,HCP_00182,Dermatology,Chennai,Velachery,South Chennai
NPIIN0000000183,HCP_00183,Orthopedics,Chennai,Ambattur,North Chennai
NPIIN0000000184,HCP_00184,Neurology,Chennai,Egmore,Central Chennai
NPIIN0000000185,HCP_00185,Pulmonology,Chennai,Tambaram,South Chennai
NPIIN0000000186,HCP_00186,General Medicine,Chennai,Tambaram,South Chennai
NPIIN0000000187,HCP_00187,Cardiology,Chennai,Tondiarpet,North Chennai
NPIIN0000000188,HCP_00188,Endocrinology,Chennai,Anna Nagar,Central Chennai
NPIIN0000000189,HCP_00189,Endocrinology,Chennai,Velachery,South Chennai
NPIIN0000000190,HCP_00190,Cardiology,Chennai,Mylapore,Central Chennai
NPIIN0000000191,HCP_00191,Neurology,Chennai,Sholinganallur,South Chennai
NPIIN0000000192,HCP_00192,Cardiology,Chennai,Egmore,Central Chennai
NPIIN0000000193,HCP_00193,Cardiology,Chennai,Kilpauk,Central Chennai
NPIIN0000000194,HCP_00194,General Medicine,Chennai,Sholinganallur,South Chennai
NPIIN0000000195,HCP_00195,Diabetology,Chennai,Kilpauk,Central Chennai
NPIIN0000000196,HCP_00196,Endocrinology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000197,HCP_00197,Endocrinology,Chennai,Madhavaram,North Chennai
NPIIN0000000198,HCP_00198,Diabetology,Chennai,Tambaram,South Chennai
NPIIN0000000199,HCP_00199,Pulmonology,Chennai,T Nagar,Central Chennai
NPIIN0000000200,HCP_00200,Gastroenterology,Chennai,Egmore,Central Chennai
NPIIN0000000201,HCP_00201,Dermatology,Chennai,Porur,South Chennai
NPIIN0000000202,HCP_00202,Gastroenterology,Chennai,Velachery,South Chennai
NPIIN0000000203,HCP_00203,Pulmonology,Chennai,Washermenpet,North Chennai
NPIIN0000000204,HCP_00204,Urology,Chennai,Mylapore,Central Chennai
NPIIN0000000205,HCP_00205,General Medicine,Chennai,Mylapore,Central Chennai
NPIIN0000000206,HCP_00206,Neurology,Chennai,Anna Nagar,Central Chennai
NPIIN0000000207,HCP_00207,General Medicine,Chennai,Egmore,Central Chennai
NPIIN0000000208,HCP_00208,Diabetology,Chennai,Porur,South Chennai
NPIIN0000000209,HCP_00209,General Medicine,Chennai,Mylapore,Central Chennai
NPIIN0000000210,HCP_00210,Endocrinology,Chennai,Madhavaram,North Chennai
NPIIN0000000211,HCP_00211,Dermatology,Chennai,Velachery,South Chennai
NPIIN0000000212,HCP_00212,Cardiology,Chennai,Tondiarpet,North Chennai
NPIIN0000000213,HCP_00213,Neurology,Chennai,Mylapore,Central Chennai
NPIIN0000000214,HCP_00214,Urology,Chennai,Velachery,South Chennai
NPIIN0000000215,HCP_00215,General Medicine,Chennai,Velachery,South Chennai
NPIIN0000000216,HCP_00216,Cardiology,Chennai,Porur,South Chennai
NPIIN0000000217,HCP_00217,General Medicine,Chennai,Egmore,Central Chennai
NPIIN0000000218,HCP_00218,General Medicine,Chennai,Kilpauk,Central Chennai
NPIIN0000000219,HCP_00219,Orthopedics,Chennai,Tambaram,South Chennai
NPIIN0000000220,HCP_00220,Neurology,Chennai,Perambur,North Chennai
NPIIN0000000221,HCP_00221,Gastroenterology,Chennai,T Nagar,Central Chennai
NPIIN0000000222,HCP_00222,General Medicine,Chennai,Washermenpet,North Chennai
NPIIN0000000223,HCP_00223,Neurology,Chennai,Sholinganallur,South Chennai
NPIIN0000000224,HCP_00224,Gastroenterology,Chennai,Adyar,South Chennai
NPIIN0000000225,HCP_00225,Cardiology,Chennai,Kilpauk,Central Chennai
NPIIN0000000226,HCP_00226,Endocrinology,Chennai,Tambaram,South Chennai
NPIIN0000000227,HCP_00227,Cardiology,Chennai,Mylapore,Central Chennai
NPIIN0000000228,HCP_00228,General Medicine,Chennai,Perambur,North Chennai
NPIIN0000000229,HCP_00229,Urology,Chennai,Adyar,South Chennai
NPIIN0000000230,HCP_00230,Pulmonology,Chennai,T Nagar,Central Chennai
NPIIN0000000231,HCP_00231,General Medicine,Chennai,Egmore,Central Chennai
NPIIN0000000232,HCP_00232,Urology,Chennai,Madhavaram,North Chennai
NPIIN0000000233,HCP_00233,Endocrinology,Chennai,Tambaram,South Chennai
NPIIN0000000234,HCP_00234,Cardiology,Chennai,Perambur,North Chennai
NPIIN0000000235,HCP_00235,Urology,Chennai,Sholinganallur,South Chennai
NPIIN0000000236,HCP_00236,Urology,Chennai,Tambaram,South Chennai
NPIIN0000000237,HCP_00237,Neurology,Chennai,Madhavaram,North Chennai
NPIIN0000000238,HCP_00238,Diabetology,Chennai,Porur,South Chennai
NPIIN0000000239,HCP_00239,Orthopedics,Chennai,Mylapore,Central Chennai
NPIIN0000000240,HCP_00240,Gastroenterology,Chennai,Kilpauk,Central Chennai
NPIIN0000000241,HCP_00241,Neurology,Chennai,Adyar,South Chennai
NPIIN0000000242,HCP_00242,Endocrinology,Chennai,Velachery,South Chennai
NPIIN0000000243,HCP_00243,General Medicine,Chennai,T Nagar,Central Chennai
NPIIN0000000244,HCP_00244,Dermatology,Chennai,Perambur,North Chennai
NPIIN0000000245,HCP_00245,Urology,Chennai,Tondiarpet,North Chennai
NPIIN0000000246,HCP_00246,Pulmonology,Chennai,Velachery,South Chennai
NPIIN0000000247,HCP_00247,General Medicine,Chennai,Royapuram,North Chennai
NPIIN0000000248,HCP_00248,Neurology,Chennai,Royapuram,North Chennai
NPIIN0000000249,HCP_00249,General Medicine,Chennai,Ambattur,North Chennai
NPIIN0000000250,HCP_00250,General Medicine,Chennai,Madhavaram,North Chennai
NPIIN0000000251,HCP_00251,Cardiology,Chennai,Adyar,South Chennai
NPIIN0000000252,HCP_00252,Cardiology,Chennai,Velachery,South Chennai
NPIIN0000000253,HCP_00253,Gastroenterology,Chennai,Tondiarpet,North Chennai
NPIIN0000000254,HCP_00254,Cardiology,Chennai,Mylapore,Central Chennai
NPIIN0000000255,HCP_00255,Cardiology,Chennai,T Nagar,Central Chennai
NPIIN0000000256,HCP_00256,Urology,Chennai,Adyar,South Chennai
NPIIN0000000257,HCP_00257,Neurology,Chennai,Guindy,South Chennai
NPIIN0000000258,HCP_00258,Cardiology,Chennai,Mylapore,Central Chennai
NPIIN0000000259,HCP_00259,Diabetology,Chennai,Mylapore,Central Chennai
NPIIN0000000260,HCP_00260,Gastroenterology,Chennai,Ambattur,North Chennai
NPIIN0000000261,HCP_00261,General Medicine,Chennai,Egmore,Central Chennai
NPIIN0000000262,HCP_00262,General Medicine,Chennai,Sholinganallur,South Chennai
NPIIN0000000263,HCP_00263,General Medicine,Chennai,Kilpauk,Central Chennai
NPIIN0000000264,HCP_00264,Endocrinology,Chennai,T Nagar,Central Chennai
NPIIN0000000265,HCP_00265,Gastroenterology,Chennai,Velachery,South Chennai
NPIIN0000000266,HCP_00266,Cardiology,Chennai,Egmore,Central Chennai
NPIIN0000000267,HCP_00267,General Medicine,Chennai,Anna Nagar,Central Chennai
NPIIN0000000268,HCP_00268,Endocrinology,Chennai,T Nagar,Central Chennai
NPIIN0000000269,HCP_00269,Cardiology,Chennai,Mylapore,Central Chennai
NPIIN0000000270,HCP_00270,Endocrinology,Chennai,Kilpauk,Central Chennai
NPIIN0000000271,HCP_00271,Urology,Chennai,Egmore,Central Chennai
NPIIN0000000272,HCP_00272,Endocrinology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000273,HCP_00273,Diabetology,Chennai,T Nagar,Central Chennai
NPIIN0000000274,HCP_00274,Cardiology,Chennai,Perambur,North Chennai
NPIIN0000000275,HCP_00275,Gastroenterology,Chennai,Velachery,South Chennai
NPIIN0000000276,HCP_00276,General Medicine,Chennai,Madhavaram,North Chennai
NPIIN0000000277,HCP_00277,Orthopedics,Chennai,Kilpauk,Central Chennai
NPIIN0000000278,HCP_00278,Neurology,Chennai,Ambattur,North Chennai
NPIIN0000000279,HCP_00279,Pulmonology,Chennai,Sholinganallur,South Chennai
NPIIN0000000280,HCP_00280,Neurology,Chennai,Sholinganallur,South Chennai
NPIIN0000000281,HCP_00281,Cardiology,Chennai,Egmore,Central Chennai
NPIIN0000000282,HCP_00282,Orthopedics,Chennai,Kilpauk,Central Chennai
NPIIN0000000283,HCP_00283,Orthopedics,Chennai,Anna Nagar,Central Chennai
NPIIN0000000284,HCP_00284,Diabetology,Chennai,Egmore,Central Chennai
NPIIN0000000285,HCP_00285,Pulmonology,Chennai,Madhavaram,North Chennai
NPIIN0000000286,HCP_00286,Endocrinology,Chennai,Madhavaram,North Chennai
NPIIN0000000287,HCP_00287,Pulmonology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000288,HCP_00288,Gastroenterology,Chennai,Ambattur,North Chennai
NPIIN0000000289,HCP_00289,Orthopedics,Chennai,Tondiarpet,North Chennai
NPIIN0000000290,HCP_00290,General Medicine,Chennai,Nungambakkam,Central Chennai
NPIIN0000000291,HCP_00291,Neurology,Chennai,Porur,South Chennai
NPIIN0000000292,HCP_00292,Gastroenterology,Chennai,Kilpauk,Central Chennai
NPIIN0000000293,HCP_00293,Endocrinology,Chennai,Guindy,South Chennai
NPIIN0000000294,HCP_00294,Pulmonology,Chennai,Mylapore,Central Chennai
NPIIN0000000295,HCP_00295,Neurology,Chennai,Velachery,South Chennai
NPIIN0000000296,HCP_00296,Gastroenterology,Chennai,Guindy,South Chennai
NPIIN0000000297,HCP_00297,Orthopedics,Chennai,Velachery,South Chennai
NPIIN0000000298,HCP_00298,Cardiology,Chennai,Velachery,South Chennai
NPIIN0000000299,HCP_00299,Endocrinology,Chennai,Velachery,South Chennai
NPIIN0000000300,HCP_00300,Endocrinology,Chennai,Guindy,South Chennai
NPIIN0000000301,HCP_00301,Endocrinology,Chennai,Porur,South Chennai
NPIIN0000000302,HCP_00302,General Medicine,Chennai,Nungambakkam,Central Chennai
NPIIN0000000303,HCP_00303,Urology,Chennai,Perambur,North Chennai
NPIIN0000000304,HCP_00304,General Medicine,Chennai,Perambur,North Chennai
NPIIN0000000305,HCP_00305,Neurology,Chennai,Tambaram,South Chennai
NPIIN0000000306,HCP_00306,General Medicine,Chennai,Royapuram,North Chennai
NPIIN0000000307,HCP_00307,Diabetology,Chennai,Ambattur,North Chennai
NPIIN0000000308,HCP_00308,Dermatology,Chennai,Sholinganallur,South Chennai
NPIIN0000000309,HCP_00309,Neurology,Chennai,Anna Nagar,Central Chennai
NPIIN0000000310,HCP_00310,General Medicine,Chennai,Mylapore,Central Chennai
NPIIN0000000311,HCP_00311,Urology,Chennai,Tondiarpet,North Chennai
NPIIN0000000312,HCP_00312,General Medicine,Chennai,Perambur,North Chennai
NPIIN0000000313,HCP_00313,Endocrinology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000314,HCP_00314,General Medicine,Chennai,Madhavaram,North Chennai
NPIIN0000000315,HCP_00315,Neurology,Chennai,Royapuram,North Chennai
NPIIN0000000316,HCP_00316,General Medicine,Chennai,Mylapore,Central Chennai
NPIIN0000000317,HCP_00317,Dermatology,Chennai,Royapuram,North Chennai
NPIIN0000000318,HCP_00318,Pulmonology,Chennai,Guindy,South Chennai
NPIIN0000000319,HCP_00319,General Medicine,Chennai,Mylapore,Central Chennai
NPIIN0000000320,HCP_00320,Dermatology,Chennai,Tambaram,South Chennai
NPIIN0000000321,HCP_00321,General Medicine,Chennai,Sholinganallur,South Chennai
NPIIN0000000322,HCP_00322,General Medicine,Chennai,Ambattur,North Chennai
NPIIN0000000323,HCP_00323,Cardiology,Chennai,T Nagar,Central Chennai
NPIIN0000000324,HCP_00324,General Medicine,Chennai,Ambattur,North Chennai
NPIIN0000000325,HCP_00325,General Medicine,Chennai,Tambaram,South Chennai
NPIIN0000000326,HCP_00326,Endocrinology,Chennai,Adyar,South Chennai
NPIIN0000000327,HCP_00327,Pulmonology,Chennai,Velachery,South Chennai
NPIIN0000000328,HCP_00328,Endocrinology,Chennai,Ambattur,North Chennai
NPIIN0000000329,HCP_00329,Endocrinology,Chennai,Adyar,South Chennai
NPIIN0000000330,HCP_00330,Pulmonology,Chennai,Anna Nagar,Central Chennai
NPIIN0000000331,HCP_00331,Diabetology,Chennai,Tambaram,South Chennai
NPIIN0000000332,HCP_00332,Neurology,Chennai,T Nagar,Central Chennai
NPIIN0000000333,HCP_00333,Neurology,Chennai,Sholinganallur,South Chennai
NPIIN0000000334,HCP_00334,Diabetology,Chennai,Sholinganallur,South Chennai
NPIIN0000000335,HCP_00335,Cardiology,Chennai,Egmore,Central Chennai
NPIIN0000000336,HCP_00336,General Medicine,Chennai,Madhavaram,North Chennai
NPIIN0000000337,HCP_00337,Cardiology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000338,HCP_00338,General Medicine,Chennai,Velachery,South Chennai
NPIIN0000000339,HCP_00339,Gastroenterology,Chennai,Egmore,Central Chennai
NPIIN0000000340,HCP_00340,Pulmonology,Chennai,Guindy,South Chennai
NPIIN0000000341,HCP_00341,General Medicine,Chennai,Nungambakkam,Central Chennai
NPIIN0000000342,HCP_00342,Orthopedics,Chennai,Porur,South Chennai
